fuel_type,plant_name,unit_name,pmax_kw,pmax_mw,total_outage_hr,planned_outage_hr,unplanned_outage_hr,n_unplanned_events,service_hr,for_rate,mttr_hr,mu_per_hr,lambda_per_hr
燃氣,南部電廠,南複GT3-1,86500,86.5,261.15,261.15,0.0,0,8498.85,0.001,72.0,0.01388889,1.39e-05
燃氣,南部電廠,南複GT3-2,86500,86.5,288.67,288.67,0.0,0,8471.33,0.001,72.0,0.01388889,1.39e-05
燃氣,南部電廠,南複ST1,100000,100.0,59.62,58.25,1.37,1,8700.38,0.001,1.37,0.73170732,0.00073244
燃氣,南部電廠,南複ST2,100000,100.0,3673.87,3667.42,6.45,2,5086.13,0.001267,3.22,0.31007752,0.00039323
燃氣,南部電廠,南複ST3,100000,100.0,35.12,31.68,3.43,1,8724.88,0.001,3.43,0.29126214,0.00029155
燃氣,大林電廠,#6,320000,320.0,243.57,243.57,0.0,0,8516.43,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複GT1-1,153500,153.5,5912.5,5617.5,295.0,1,2847.5,0.093874,295.0,0.00338983,0.00035119
燃氣,大潭電廠,潭複GT1-2,153500,153.5,1682.25,1409.25,273.0,1,7077.75,0.037139,273.0,0.003663,0.00014129
燃氣,大潭電廠,潭複GT1-3,153500,153.5,2331.03,2036.03,295.0,1,6428.97,0.043873,295.0,0.00338983,0.00015555
燃氣,大潭電廠,潭複GT2-1,153500,153.5,682.6,682.6,0.0,0,8077.4,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複GT2-2,153500,153.5,911.05,911.05,0.0,0,7848.95,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複GT2-3,153500,153.5,623.1,623.1,0.0,0,8136.9,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複GT3-1,233900,233.9,911.03,911.03,0.0,0,7848.97,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複GT3-2,233900,233.9,674.55,674.55,0.0,0,8085.45,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複GT4-1,233900,233.9,902.65,902.65,0.0,0,7857.35,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複GT4-2,233900,233.9,413.38,413.38,0.0,0,8346.62,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複GT5-1,233900,233.9,2058.42,2039.62,18.8,2,6701.58,0.002797,9.4,0.10638298,0.00029844
燃氣,大潭電廠,潭複GT5-2,233900,233.9,1977.07,1977.07,0.0,0,6782.93,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複GT6-1,233900,233.9,634.58,634.58,0.0,0,8125.42,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複GT6-2,233900,233.9,625.6,625.6,0.0,0,8134.4,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複GT7-1,300000,300.0,1861.22,1804.53,56.68,3,6898.78,0.008149,18.89,0.05292561,0.00043486
燃氣,大潭電廠,潭複GT7-2,300000,300.0,1802.97,1802.97,0.0,0,6957.03,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複GT8-1,366395,366.395,3116.92,2999.9,117.02,5,5643.08,0.020315,23.4,0.04272896,0.00088604
燃氣,大潭電廠,潭複GT8-2,366395,366.395,3098.68,3055.9,42.78,3,5661.32,0.0075,14.26,0.07012076,0.00052991
